button_pressed,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
,,,"[u'D::E,B,A,C', u'D,C::E,B,A', u'D,C,A::E,B', u'D,C,A,B::E', u'D,C,A,B:E:', u'D,C,A:E:B', u'D,C:E:B,A', u'D:E:B,A,C', u':E,D:B,A,C', u':E,D,C:B,A', u'A:E,D,C:B', u'A:E,D,C,B:', u':E,D,C,B,A:']",,612547,"[6533, 7513, 8659, 10257, 13823, 14849, 15995, 17344, 21113, 22914, 25107, 26075]",blockworld,4
,,,"[u'F,C,E:A:D,B', u'F,C:A:D,B,E', u'F:A:D,B,E,C', u'F::D,B,E,C,A', u':F:D,B,E,C,A', u'A:F:D,B,E,C', u'A,C:F:D,B,E', u'A,C,E:F:D,B', u'A,C:F,E:D,B', u'A,C,B:F,E:D', u'A,C,B:F,E,D:', u'A,C:F,E,D:B', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,651169,"[7904, 8962, 10019, 10986, 13912, 14924, 15970, 18592, 21529, 22765, 33039, 34365, 35569, 36942]",blockworld,4
,,,"[u'E:C:F,B,A,D', u'E,D:C:F,B,A', u'E,D,A:C:F,B', u'E,D,A,B:C:F', u'E,D,A,B,C::F', u'E,D,A,B,C:F:', u'E,D,A,B:F:C', u'E,D,A:F:C,B', u'E,D:F:C,B,A', u'E:F:C,B,A,D', u':F,E:C,B,A,D', u':F,E,D:C,B,A', u'A:F,E,D:C,B', u'A,B:F,E,D:C', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,679318,"[4372, 5418, 6566, 8411, 9761, 12203, 13406, 14509, 15375, 17501, 18896, 21687, 22901, 24364, 25602, 26941]",blockworld,4
,,,"[u'F,C,B,A::D,E', u'F,C,B::D,E,A', u'F,C::D,E,A,B', u'F::D,E,A,B,C', u':F:D,E,A,B,C', u'C:F:D,E,A,B', u'C,B:F:D,E,A', u'C,B,A:F:D,E', u'C,B,A,E:F:D', u'C,B,A,E:F,D:', u'C,B,A:F,D:E', u'C,B:F,D:E,A', u'C:F,D:E,A,B', u':F,D,C:E,A,B', u'B:F,D,C:E,A', u'B,A:F,D,C:E', u'B,A:F,D,C,E:', u'B,A,E:F,D,C:', u'B,A,E:F,D:C', u'B,A:F,D,E:C', u'B,A:F,D:C,E', u'B,A,D:F:C,E', u'B,A,D:F,E:C', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,728898,"[3608, 4441, 5375, 6769, 17637, 18695, 19618, 20630, 21801, 23521, 24421, 25333, 26447, 28033, 29102, 32341, 35930, 37325, 38530, 40700, 41578, 42513, 43547, 44885, 46427, 47563, 48575]",blockworld,4
,,,"[u'F:B,D,A,C,E:', u'F:B,D,A,C:E', u'F:B,D,A:E,C', u'F,A:B,D:E,C', u'F,A,D:B:E,C', u'F,A,D,C:B:E', u'F,A,D,C,B::E', u'F,A,D,C::E,B', u'F,A,D::E,B,C', u'F,A::E,B,C,D', u'F::E,B,C,D,A', u':F:E,B,C,D,A', u'A:F:E,B,C,D', u'A,D:F:E,B,C', u'A,D,C:F:E,B', u'A,D,C,B:F:E', u'A,D,C,B:F,E:', u'A,D,C:F,E:B', u'A,D:F,E:B,C', u'A:F,E,D:B,C', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,758847,"[2156, 2944, 3731, 6172, 7072, 10155, 13496, 14217, 15116, 16140, 17220, 18402, 19257, 20011, 20799, 21811, 23948, 24770, 25624, 26963, 27806, 28786]",blockworld,4
,,,"[u'F,E,A:B,C:D', u'F,E,A:B:D,C', u'F,E,A::D,C,B', u'F,E::D,C,B,A', u'F::D,C,B,A,E', u':F:D,C,B,A,E', u':F,E:D,C,B,A', u'A:F,E:D,C,B', u'A,B:F,E:D,C', u'A,B,C:F,E:D', u'A,B,C:F,E,D:', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,776307,"[1999, 3000, 3876, 6262, 7218, 8478, 10357, 11189, 12201, 13496, 14700, 15431, 16388]",blockworld,4
,,,"[u'E:B:F,C,D,A', u'E::F,C,D,A,B', u'E,B::F,C,D,A', u'E,B,A::F,C,D', u'E,B,A,D::F,C', u'E,B,A,D,C::F', u'E,B,A,D,C:F:', u'E,B,A,D:F:C', u'E,B,A:F:C,D', u'E,B:F:C,D,A', u'E:F:C,D,A,B', u':F,E:C,D,A,B', u'B:F,E:C,D,A', u'B,A:F,E:C,D', u'B,A,D:F,E:C', u'B,A,D:F,E,C:', u'B,A,D:F,E:C', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,803083,"[2527, 3427, 4373, 5430, 6567, 7996, 9920, 10930, 11786, 12855, 13958, 15217, 16455, 17580, 18649, 19808, 20596, 21495, 22664, 24758, 25579]",blockworld,4
,,,"[u'E:C,A,D:F,B', u'E,D:C,A:F,B', u'E,D,A:C:F,B', u'E,D,A,B:C:F', u'E,D,A,B,C::F', u'E,D,A,B,C:F:', u'E,D,A,B:F:C', u'E,D,A:F:C,B', u'E,D:F:C,B,A', u'E:F:C,B,A,D', u':F,E:C,B,A,D', u':F,E,D:C,B,A', u'A:F,E,D:C,B', u'A,B:F,E,D:C', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,820961,"[1898, 2640, 3574, 5126, 6206, 7365, 8220, 9311, 10357, 11370, 12427, 13204, 14059, 15004, 15871, 16759]",blockworld,4
,,,"[u'F,D:B,C:E,A', u'F:B,C:E,A,D', u'F:B:E,A,D,C', u'F::E,A,D,C,B', u':F:E,A,D,C,B', u'B:F:E,A,D,C', u'B,C:F:E,A,D', u'B,C,D:F:E,A', u'B,C,D,A:F:E', u'B,C,D,A:F,E:', u'B,C,D:F,E:A', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,858784,"[22575, 23462, 24385, 25285, 26388, 27301, 28481, 29415, 30315, 32486, 33487, 35006, 35974, 36727]",blockworld,4
,,,"[u'F:D,A,B,C:E', u'F:D,A,B:E,C', u'F:D,A:E,C,B', u'F:D:E,C,B,A', u'F::E,C,B,A,D', u':F:E,C,B,A,D', u'D:F:E,C,B,A', u'D,A:F:E,C,B', u'D,A,B:F:E,C', u'D,A,B,C:F:E', u'D,A,B,C:F,E:', u'D,A,B:F,E:C', u'D,A:F,E:C,B', u'D:F,E:C,B,A', u':F,E,D:C,B,A', u'A:F,E,D:C,B', u'A,B:F,E,D:C', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,880284,"[2628, 3234, 3865, 4573, 5406, 6431, 7667, 8489, 9547, 10424, 11809, 12843, 13743, 14822, 15645, 16690, 17534, 18468, 20268]",blockworld,4
,,,"[u'F,E:B,D,C,A:', u'F,E:B,D,C:A', u'F,E:B,D:A,C', u'F,E:B:A,C,D', u'F,E::A,C,D,B', u'F::A,C,D,B,E', u':F:A,C,D,B,E', u':F,E:A,C,D,B', u'B:F,E:A,C,D', u'B:F,E,D:A,C', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,912910,"[20584, 21303, 22024, 22800, 23925, 25106, 26648, 27818, 28628, 29900, 30754, 31643]",blockworld,4
,,,"[u':A,C,E,F:D,B', u'F:A,C,E:D,B', u'F,E:A,C:D,B', u'F,E:A:D,B,C', u'F,E::D,B,C,A', u'F::D,B,C,A,E', u':F:D,B,C,A,E', u':F,E:D,B,C,A', u'A:F,E:D,B,C', u'A,C:F,E:D,B', u'A,C,B:F,E:D', u'A,C,B:F,E,D:', u'A,C:F,E,D:B', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,929122,"[1242, 1927, 2738, 3593, 4504, 5416, 6373, 7767, 8711, 9454, 10343, 12436, 13358, 14191, 15000]",blockworld,4
,,,"[u'F,B:C,A,D:E', u'F,B:C,A:E,D', u'F,B:C:E,D,A', u'F,B::E,D,A,C', u'F::E,D,A,C,B', u':F:E,D,A,C,B', u'B:F:E,D,A,C', u'B:F,C:E,D,A', u'B,A:F,C:E,D', u'B,A,D:F,C:E', u'B,A,D:F,C,E:', u'B,A:F,C,E,D:', u'B:F,C,E,D:A', u':F,C,E,D,B:A', u':F,C,E,D,B,A:', u'A:F,C,E,D,B:', u'A:F,C,E,D:B', u'A:F,C,E:B,D', u'A:F,C:B,D,E', u'A,C:F:B,D,E', u'A,C:F,E:B,D', u'A,C:F,E,D:B', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,959859,"[2584, 3293, 4575, 5555, 6759, 8356, 9256, 10313, 11180, 12113, 13610, 14848, 15748, 16669, 19786, 20878, 21654, 23115, 23950, 24883, 26649, 27538, 28370, 29427]",blockworld,4
,,,"[u'F,C,D,A:B:E', u'F,C,D,A::E,B', u'F,C,D,A,B::E', u'F,C,D,A::E,B', u'F,C,D::E,B,A', u'F,C::E,B,A,D', u'F::E,B,A,D,C', u':F:E,B,A,D,C', u'C:F:E,B,A,D', u'C,D:F:E,B,A', u'C,D,A:F:E,B', u'C,D,A,B:F:E', u'C,D,A,B:F,E:', u'C,D,A:F,E:B', u'C,D:F,E:B,A', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,990370,"[6399, 8053, 10978, 11810, 12970, 13768, 14791, 15747, 16592, 17503, 18391, 20191, 21981, 22836, 23859, 25794, 26627, 27774, 29349]",blockworld,4
,,,"[u'E,B:A,D:F,C', u'E,B,D:A:F,C', u'E,B,D,C:A:F', u'E,B,D,C,A::F', u'E,B,D,C,A:F:', u'E,B,D,C:F:A', u'E,B,D:F:A,C', u'E,B:F:A,C,D', u'E:F:A,C,D,B', u':F,E:A,C,D,B', u'B:F,E:A,C,D', u'B,D:F,E:A,C', u'B,D:F,E,C:A', u'B:F,E,C,D:A', u'B:F,E,C:A,D', u'B,C:F,E:A,D', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,1014874,"[2460, 3258, 4643, 6194, 7037, 7815, 8658, 9829, 11043, 12180, 13113, 14014, 15644, 17400, 18311, 19368, 20280, 21394, 22035, 23373]",blockworld,4
,,,"[u'E:D,B,A,C:F', u'E,C:D,B,A:F', u'E,C:D,B:F,A', u'E,C:D:F,A,B', u'E,C,D::F,A,B', u'E,C,D,B::F,A', u'E,C,D,B,A::F', u'E,C,D,B,A:F:', u'E,C,D,B:F:A', u'E,C,D:F:A,B', u'E,C:F:A,B,D', u'E:F:A,B,D,C', u':F,E:A,B,D,C', u'C:F,E:A,B,D', u'C:F,E,D:A,B', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,1033403,"[1762, 2483, 3158, 4361, 5352, 6386, 7647, 8671, 9481, 10180, 11000, 11968, 13519, 14667, 15635, 16625, 17537]",blockworld,4
,,,"[u'F,E,C:B,A:D', u'F,E,C:B:D,A', u'F,E:B:D,A,C', u'F:B:D,A,C,E', u':B,F:D,A,C,E', u'F:B:D,A,C,E', u'F::D,A,C,E,B', u':F:D,A,C,E,B', u'B:F:D,A,C,E', u'B,E:F:D,A,C', u'B:F,E:D,A,C', u'B,C:F,E:D,A', u'B,C,A:F,E:D', u'B,C,A:F,E,D:', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,1059414,"[3877, 4991, 6127, 7229, 9131, 10301, 13001, 13968, 14924, 16330, 17253, 18401, 19751, 20820, 22158, 23351, 24702]",blockworld,4
,,,"[u'A,C::B', u'A:C:B', u'A:C,B:', u':C,B,A:']",,14206,"[2233, 2945, 3793]",blockworld,33
,,,"[u':A,C:D,B', u'C:A:D,B', u'C,A::D,B', u'C::D,B,A', u'C,A::D,B', u'C,A,B::D', u'C,A,B:D:', u'C,A:D:B', u'C:D:B,A', u':D,C:B,A', u'A:D,C:B', u'A:D,C,B:', u':D,C,B,A:']",,41077,"[2768, 3871, 7800, 11408, 12239, 13104, 14647, 15679, 16615, 17790, 18519, 19511]",blockworld,33
,,,"[u'D:A,B:E,C', u'D,B:A:E,C', u'D,B,C:A:E', u'D,B,C,A::E', u'D,B,C,A:E:', u'D,B,C:E:A', u'D,B:E:A,C', u'D:E:A,C,B', u':E,D:A,C,B', u'B:E,D:A,C', u'B:E,D,C:A', u':E,D,C,B:A', u':E,D,C,B,A:']",,57693,"[1830, 2936, 6048, 7001, 8872, 10209, 10945, 11673, 12728, 13592, 14465, 15672]",blockworld,33
